con_level,rps,98p,longest
200,15.06,23623,25192
10,10.91,1386,1532
15,10.84,2061,2236
80,10.99,8731,9834
20,10.88,2918,3007
150,13.76,16341,16645
30,10.93,3987,4144
100,10.98,11746,11751
300,28.08,24623,25019
50,10.98,5669,5926
250,24.23,22941,24470
