con_level,rps,98p,longest
200,20.3,28330,33143
10,16.18,1617,1874
15,16.38,2459,2955
80,16.28,8735,9364
20,15.84,3398,3884
150,17.74,19391,20554
30,15.61,5583,6272
100,16.31,12830,13826
300,30.84,25373,27366
50,14.97,8147,8893
250,24.25,22896,25300
