con_level,rps,98p,longest
200,962.09,512,1039
10,1960.81,11,18
15,2034.46,13,15
80,1734.16,69,70
20,2073.74,16,17
150,485.56,1026,1027
30,2028.3,27,28
100,1785.34,77,90
300,954.7,1039,1044
50,1750.95,45,48
250,1663.28,305,339
